firme,sector
Accor SA (ACCP),Services
Air Liquide SA (AIRP),Matériaux de base
ArcelorMittal S.A. (MT),Matériaux de base
Atos SE (ATOS),Technologie
AXA SA (AXAF),Finance
BNP Paribas SA (BNPP),Finance
Bouygues SA (BOUY),Biens d'équipement
Capgemini SE (CAPP),Technologie
Carrefour SA (CARR),Services
Crédit Agricole SA (CAGR),Finance
Danone SA (DANO),Consommateur/Non cycliques
Dassault Systemes SE (DAST),Technologie
Airbus Group SE (AIR),Biens d'équipement
EssilorLuxottica SA (ESLX),Santé
Orange SA (ORAN),Services
Engie SA (ENGIE),Fournisseurs de services
Hermès International SCA (HRMS),Biens de consommation cycliques
Kering SA (PRTP),Services
L'Oréal SA (OREP),Consommateur/Non cycliques
LVMH Moet Hennessy Louis Vuitton SE (LVMH),Biens de consommation cycliques
Legrand SA (LEGD),Technologie
Compagnie Générale des Etablissements Michelin SCA (MICP),Biens de consommation cycliques
Pernod Ricard SA (PERP),Consommateur/Non cycliques
Peugeot SA (PEUP),Biens de consommation cycliques
Publicis Groupe (PUBP),Services
Renault SA (RENA),Biens de consommation cycliques
Safran SA (SAF),Biens d'équipement
Compagnie de Saint-Gobain SA (SGOB),Biens d'équipement
Sanofi SA (SASY),Santé
Schneider Electric SE (SCHN),Technologie
Societe Generale SA (SOGN),Finance
STMicroelectronics NV (STM),Technologie
Teleperformance SE (TEPRF),Services
Thales (TCFP),Technologie
Total SA (TOTF),Energie
WFD Unibail Rodamco NV (URW),Services
Veolia (VIE),Services
Vinci SA (SGEF),Biens d'équipement
Vivendi SA (VIV),Services
Worldline SA (WLN),Finance
