firme,sector
Aeroports de Paris SA (ADP),Transport
Air France - KLM SA (AIRF),Transport
Akka Technologies (AKA),Technologie
Albioma SA (ABIO),Fournisseurs de services
ALD SA (ALDA),Services
Alten SA (LTEN),Technologie
Amundi SA (AMUN),Finance
Aperam SA (APAM),Matériaux de base
Biomerieux SA (BIOX),Santé
Bolloré SA (BOLL),Services
Casino Guichard Perrachon SA (CASP),Services
CGG SA (GEPH),Energie
CNP Assurances SA (CNPP),Finance
Coface (COFA),Finance
Dassault Aviation SA (AVMD),Biens d'équipement
DBV Technologies SA (DBV),Santé
Elior Group (ELIOR),Services
Elis Services SA (ELIS),Services
Eramet SA (ERMT),Matériaux de base
Eurazeo (EURA),Financial
Euronext (ENX),Finance
Eutelsat Communications SA (ETL),Services
Covivio SA (CVO),Services
Genfit SA (GNFT),Santé
Groupe FNAC (FNAC),Services
GTT (GTT),Energie
Icade (ICAD),Services
Iliad (ILD),Services
Imerys SA (IMTP),Biens d'équipement
Ipsen SA (IPN),Santé
Ipsos (ISOS),Services
JC Decaux SA (JCDX),Services
Korian Medica SA (KORI),Healthcare
La Francaise Des Jeux Sa (FDJ),Services
Lagardere SCA (LAGA),Services
Metropole Television SA (MMTP),Services
Maisons du Monde SAS (MDM),Biens de consommation cycliques
Mercialys SA (MERY),Services
Natixis (CNAT),Finance
Neoen SA (NEOEN),Fournisseurs de services
Nexans SA (NEXS),Matériaux de base
Nexity (NEXI),Biens d'équipement
Compagnie Plastic Omnium SA (PLOF),Biens de consommation cycliques
Rémy Cointreau (RCOP),Consommateur/Non cycliques
Rexel (RXL),Technologie
Robertet (ROBF),Consommateur/Non cycliques
Rubis SCA (RUBF),Energie
SEB SA (SEBF),Biens de consommation cycliques
SES SA (SESFd),Services
Société BIC SA (BICP),Consommateur/Non cycliques
Soitec SA (SOIT),Technologie
Sopra Steria Group SA (SOPR),Technologie
Spie SA (SPIE),Biens d'équipement
Sartorius Stedim Biotech SA (STDM),Santé
Tarkett (TKTT),Matériaux de base
Télévision Française 1 SA (TFFP),Services
Trigano SA (TRIA),Biens de consommation cycliques
Vallourec SA (VLLP),Energie
Virbac SA (VIRB),Santé
Wendel (MWDP),Services
